ID,function,use,example to ask,,comment
,,,left context,stimulus,
1.1.,additivity,NP focus,John has left.,Bill has left too.,Here and in the following examples it is advisable to check the possibililty of placing the additive in different linear positions.
1.2.,,VP focus,Mary ate.,Mary also slept.,
1.3.,,complex VP,John insulted Ann. ,John also hit Bill.,"Some additives cannot be attached to the finite verb, but can have VP focus attaching to the direct object or other dependent, i.e. *V-ADD vs *[OBJ V-ADD] vs [OBJ-ADD V]"
1.4.,,CP focus,"Everyone prepared something for the dinner. Mary cooked a soup, Ann baked bread.","Also, Sue cut up the vegetables. ",
1.5.,,incremental additivity,Mary bought 5 apples.,"The next day, she bought another 4 apples. [Now she has 9 apples.]","The right context is used to avoid possible confusion with non-additive ""The next day, she bought 4 more apples (than today)"" (which results in 14 apples in total)"
1.6.,,,[You are doing the cleaning and have finished you room faster than the others. They are still working. You ask your mom:],- What else can I do?,
1.7.,,non-anaphoric additivity,- How was the wedding?,"- It was nice, even the head of the village came!","Replace ""the head of the village"" with whatever is relevant for your consultants and supports the scalar inference (the inference of low likelihood/expectedness)."
1.8.,,non-anaphoric additivity with contextually clear scalar inference,- Is this a difficult problem?,"- No, even my son can solve it.","The supposed scalar inference is: my son can solve it => I can solve it.
We hypothesize that it can help to accomodate the additive inference ('I can solve it').
We suggest checking these examples not one after another because of their similiarity."
1.9.,,non-anaphoric additivity with an overt alternative and contextually clear scalar inference,- Can you solve this problem?,- Even my son can solve it.,
2.1.,scalarity,upward entailing,Everyone knows this.,Even kids know this.,
2.2.,,non-additive,"At lunch, I usually drink two glasses of water.",But today I drank even three.,"This context is supposed to be incompatible with simple additive meaning due to the lack of an appropriate alternative, cf. acceptable ""At lunch, I usually drink two glasses of water. Today, I drank two glasses of water, too"".
The unaccaptance of the additive in question in this example shows that the scalar meaning in 2.1. is the result of coersion and that the additive is actually ""anti-scalar""."
2.3.,,clausemate negation,[Someone says that John was making noise during the class. You strongly disagree:],,"The following examples test compatiblity with minimizers in different contexts. We suggest avoiding the use of 'one' as a minimizer in these examples, if possible, because 'one-(NP)-ADD' can be subject to grammaticalization/lexicalization which results in idiosyncratic behaviour, cf. Japanese data in Yoshimura 2007."
2.4.,,superordinate negation,- John bought this book a long time ago. Has he read it?,- I don't think he even read a page.,
2.5.,,monoclausal non-negative downward entailing (DE),- How much time will it take for Mary to bake a pie?,- Even an hour will be enough for her.,
2.6.,,,- This bucket costs 10 dollars.,"- Even five dollars is too much for it!
",
2.7.,,multiclausal non-negative DE,- Does John drink wine?,"- No. If John drinks even a sip, he will feel bad.","Drinking alchohol may be inappropariate in some socieites. In this case specify that John is not a part of this comminity, or change the example appropriately."
2.8.,,strongest proposition with high endpoint in focus,"- There are two pies for John.
- He's very hungry.",I don't think even three pies will be enough for him.,"Some scalar additive particles are only compatible with low endpoint denoting items, regardless of the strength of the local and the global propostion, e.g. German auch nur (Koenig 1991). This constraint is tested here."
2.9.,,polar question,,Did John read even a page?,
2.10.,,imperative,,Read even one page!,
2.11.,,inherent additivity,,I though that John is a colonel but he's even a general.,"Replace ""cononel"" and ""general"" with whatever is relevant for your consultants. The alternatives has to be mutally incompatible (we assume that a person cannot be a colonel and a general at the same time) and ordered on some scale which is well-known to your consultants, e.g. assistant professor and associate professor."
